Part Name,Library Ref,Footprint Ref,CreatedBy,HelpURL,Manufacturer 1,Manufacturer 1 Part Number,Vendor 1,Vendor 1 Part Number,Description,Value,Comment
"PS,DC-DC,12Vout,1W,PDSE1-S5-S12-S","PS,DC-DC,12Vout,1W,PDSE1-S5-S12-S",CUI_PDSE1-S,Judd Foster,https://www.cui.com/product/resource/pdse1-s.pdf,CUI Inc.,PDSE1-S5-S12-S,Digikey,102-6293-ND,Isolated Module DC DC Converter 1 Output 12V 84mA 4.5V - 5.5V Input,,=Manufacturer 1 Part Number
"PS,AC-DC,5Vout,5W,PBO-5C-5","PS,AC-DC,5Vout,5W,PBO-5C-5",CUI_PBO-5C,Judd Foster,https://www.cui.com/product/resource/pbo-5c.pdf,CUI Inc.,PBO-5C-5,Digikey,102-PBO-5C-5-ND,"Open Frame AC DC Converters 1 Output 5V 1A 85 ~ 305 VAC, 70 ~ 430 VDC Input",,=Manufacturer 1 Part Number
"CAP,Cer,4.7nF,50VDC,X7R,Radial","CAP,Cer,4.7nF,50VDC,X7R,Radial",KEMET_C320C,Judd Foster,https://www.mouser.com/datasheet/2/447/KEM_C1050_GOLDMAX_X7R-3316381.pdf,KEMET,C320C472K5R5TA,Mouser,80-C320C472K5R,Multilayer Ceramic Capacitors MLCC - Leaded 50V 4700pF X7R 10% LS=2.54mm,4.7n,=Value
"CAP,Cer,10nF,50VDC,X7R,Radial","CAP,Cer,10nF,50VDC,X7R,Radial",KEMET_C320C,Judd Foster,https://www.mouser.ca/datasheet/2/447/KEM_C1050_GOLDMAX_X7R-3316381.pdf,KEMET,C320C103K5R5TA,Mouser,80-C320C103K5R,Multilayer Ceramic Capacitors MLCC - Leaded 50V 0.01uF X7R 10% LS=2.54mm,10n,=Value
"RES,330R,5%,0.25W,Axial,Thru","RES,330R,5%,0.25W,Axial,Thru",SEI_CFM14,Judd Foster,https://www.seielect.com/catalog/sei-cf_cfm.pdf,Stackpole Electronics Inc,CFM14JT330R,Digikey,S330QCT-ND,"330 Ohms ±5% 0.25W, 1/4W Through Hole Resistor Axial Flame Retardant Coating, Safety Carbon Film",330R,=Value
ULN2803AN,ULN2803AN,XBLW_DIP18,Judd Foster,https://www.lcsc.com/datasheet/lcsc_datasheet_2310191805_XBLW-ULN2803AN-XBLW_C18723560.pdf,XBLW,ULN2803AN(XBLW),LCSC,C18723560,50V 500mA DIP-18 Darlington Transistor Arrays ROHS,,=Manufacturer 1 Part Number
SN74HC244N,SN74HC244N,XBLW_DIP20,Judd Foster,https://www.lcsc.com/datasheet/lcsc_datasheet_2403160835_XBLW-SN74HC244N-XBLW_C18723516.pdf,XBLW,SN74HC244N(XBLW),LCSC,C18723516,4mA 2V~6V -20uA DIP-20 Buffer/Driver/Transceiver ROHS,,=Manufacturer 1 Part Number
SN74HC574N,SN74HC574N,TI_R-PDIP-T20,Judd Foster,https://www.ti.com/lit/ds/symlink/sn74hc574.pdf,Texas Instruments,SN74HC574N,Digikey,296-1598-5-ND,"Flip Flop 1 Element D-Type 8 Bit Positive Edge 20-DIP (0.300"", 7.62mm)",,=Manufacturer 1 Part Number
"Conn,JST,2Pin,2.5mm,Thru","Conn,JST,2Pin,2.5mm,Thru",JST_B2B-XH-A,Judd Foster,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_JST-B2B-XH-A-LF-SN_C158012.pdf,JST,B2B-XH-A(LF)(SN),LCSC,C158012,"1x2P 2P XH Tin 2 -25℃~+85℃ 3A 1 2.5mm Brass Straight Plugin,P=2.5mm Wire To Board Connector ROHS",,=Manufacturer 1 Part Number
"Conn,Jack,Combo,XLR,6.35mm,Female,Thru","Conn,Jack,Combo,XLR,6.35mm,Female,Thru",AMPHENOL_ACJC10AH,Judd Foster,https://www.amphenolaudio.com/wp-content/uploads/2015/07/SD_AC-Dual-CableMount.pdf,Amphenol Sine Systems Corp,ACJC10AH BULK,Digikey,889-ACJC10AHBULK-ND,"6.35mm (0.250"", 1/4"") - Headphone Phone Jack, Dual Stereo (3 Conductor, TRS) Connector Kinked Pin, Solder",,=Manufacturer 1 Part Number
